Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
mailbox,BPST,PBUS,RB-9000-128,RB-9000-128,Karel Lodewijk Dierickxstraat,Karel Lodewijk Dierickxstraat,1-5A,9000,3.7058410,51.0514370,0
postalpoint,PSTN,BPPE,LukOil,LukOil,Grand route,Grand route,,1435,4.6473720,50.6426590,0
mailbox,BPST,PBUS,RB-1000-093,RB-1000-093,Brederodestraat,Rue Brederode,16,1000,4.3619290,50.8413660,0
mailbox,BPST,PBUS,RB-1570-010,RB-1570-010,Statiestraat,Statiestraat,133,1570,3.9927200,50.7356780,0
mailbox,BPST,PBUS,RB-7000-051,RB-7000-051,Rue Albert Clerfayt,Rue Albert Clerfayt,2,7030,4.0074390,50.4379870,0
postalpoint,PSTN,BPPE,Lukoil Aarschot,Lukoil Aarschot,Ter Heidelaan,Ter Heidelaan,,3200,4.8187630,50.9921890,0
mailbox,BPST,PBUS,RB-1500-027,RB-1500-027,Gabrielle Petitstraat,Gabrielle Petitstraat,26,1502,4.2241670,50.7145880,0
mailbox,BPST,PBUS,RB-9500-029,RB-9500-029,Dagmoedstraat,Dagmoedstraat,2,9506,3.8978150,50.7963190,0
postalpoint,PSTN,BPPE,Lukoil Dison,Lukoil Dison,Rue Trauty,Rue Trauty,,4820,5.8555780,50.6078870,0
postalpoint,PSTN,BPPE,Lukoil Etterbeek,Lukoil Etterbeek,Graystraat,Graystraat,,1040,4.3793610,50.8346750,0
postalpoint,PSTN,BPPE,Luma Creation,Luma Creation,Chaussée de Bruxelles,Chaussée de Bruxelles,,1410,4.4014330,50.7024280,0
postalpoint,PSTN,BPPE,LUMI MARKET,LUMI MARKET,Route de Namur,Route de Namur,,4260,5.0831670,50.6243480,0
postalpoint,PSTN,BPPE,LUMI MARKET,LUMI MARKET,Rue Hovémont,Rue Hovémont,,4910,5.8148650,50.5320150,0
postalpoint,PSTN,BPPE,Lus Home Elektro,Lus Home Elektro,Leuvensesteenweg,Leuvensesteenweg,224B,3290,5.0290090,50.9648230,0
postalpoint,PSTN,BPPE,LUTI MARKET,LUTI MARKET,Place de la Chatqueue,Place de la Chatqueue,,4100,5.5216758,50.5967999,0
postalpoint,PSTN,BPPE,Lux 2.0,Lux 2.0,Kazernalaan,Kazernalaan,,3530,5.3866026,51.0567728,0
postalpoint,PSTN,BPPE,M Market,M Market,Van Lintstraat,Van Lintstraat,,1070,4.3280890,50.8392190,0
postalpoint,PSTN,BPPE,M&I,M&I,Sint-Katarinaplein,Sint-Katarinaplein,,3500,5.3509780,50.9269310,0
postalpoint,PSTN,BPPE,Maasland Telecom Tongeren,Maasland Telecom Tongeren,De schiervelstraat,De schiervelstraat,11,3700,5.4677021,50.7824874,0
postalpoint,PSTN,BPPE,Madain Dagwinkel,Madain Dagwinkel,Pastoriestraat,Pastoriestraat,,3128,4.7510999,50.9982689,0
postalpoint,PSTN,BPPE,MaeMua,MaeMua,Dorpsstraat,Dorpsstraat,77C,9190,4.0386965,51.2033252,0
postalpoint,PSTN,BPPE,Magasin Droulez,Magasin Droulez,Rue du centre,Rue du centre,,7730,3.2742600,50.6885400,0
